epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4963,1.43899,2.12013,2.04855,1.13871,0,0.40505,0.58042,0.33507,0.21026,0.40588,0.58599,0.33537,0.18475,1.29664,1.8227,3.73226,1.06621,0,0.000412698,0.000412698,0.000412698
2,73.3421,1.36988,1.91685,1.65254,1.09699,0,0.69333,0.47193,0.42501,0.27733,0.69114,0.47008,0.421,0.24244,1.26051,1.82908,1.58332,1.06736,0,0.000812944,0.000812944,0.000812944
3,107.448,1.38981,1.91358,1.68701,1.10639,0,0.43856,0.45506,0.26964,0.16412,0.43267,0.45816,0.26888,0.14518,1.3405,1.89314,inf,1.07999,0,0.00119669,0.00119669,0.00119669
4,139.947,1.42642,1.95193,1.35373,1.10196,0,0.53554,0.484,0.45033,0.27583,0.52975,0.48102,0.44754,0.24487,1.32251,1.8695,1.55164,1.09286,0,0.00117575,0.00117575,0.00117575
5,173.505,1.46836,2.10033,1.37641,1.13469,0,0.57686,0.58809,0.50208,0.31222,0.57628,0.58868,0.49918,0.2764,1.2867,1.87273,1.12386,1.08148,0,0.001151,0.001151,0.001151
6,206.662,1.37561,1.94052,1.18562,1.10406,0,0.60457,0.60396,0.56752,0.34522,0.60592,0.60465,0.56759,0.32762,1.3347,1.84887,1.08686,1.10112,0,0.00112625,0.00112625,0.00112625
7,237.872,1.35174,1.8316,1.17081,1.09475,0,0.69557,0.59018,0.60797,0.38491,0.69574,0.59073,0.60723,0.34837,1.26834,1.73868,0.97353,1.07525,0,0.0011015,0.0011015,0.0011015
8,269.495,1.34755,1.8252,1.15227,1.07514,0,0.57182,0.5622,0.50607,0.32068,0.56997,0.56143,0.50294,0.28581,1.30598,1.75583,1.6773,1.07251,0,0.00107675,0.00107675,0.00107675
9,300.929,1.33421,1.81163,1.16457,1.08288,0,0.65387,0.66751,0.61251,0.36901,0.65186,0.6658,0.60815,0.32954,1.33385,1.84666,0.9882,1.09148,0,0.001052,0.001052,0.001052
10,332.051,1.39405,1.88481,1.24638,1.0851,0,0.69466,0.5841,0.59102,0.37312,0.69513,0.58442,0.59088,0.35223,1.28272,1.73277,0.99629,1.05923,0,0.00102725,0.00102725,0.00102725
11,362.103,1.34563,1.80885,1.13807,1.08625,0,0.66534,0.62061,0.59566,0.38395,0.66374,0.61958,0.59384,0.33808,1.27142,1.78495,1.02247,1.06073,0,0.0010025,0.0010025,0.0010025
12,391.778,1.33178,1.7876,1.06955,1.07921,0,0.72162,0.66566,0.67963,0.4485,0.71864,0.6643,0.67452,0.40836,1.24845,1.67133,0.87387,1.04585,0,0.00097775,0.00097775,0.00097775
13,422.829,1.32738,1.72905,0.98231,1.05027,0,0.59915,0.65385,0.59032,0.37543,0.60024,0.651,0.59035,0.35451,1.24972,1.67686,0.96258,1.04212,0,0.000953,0.000953,0.000953
14,453.561,1.27337,1.68829,0.95455,1.03971,0,0.71579,0.6709,0.67357,0.43994,0.71695,0.67142,0.6733,0.40734,1.25036,1.65037,0.8863,1.04663,0,0.00092825,0.00092825,0.00092825
15,485.284,1.26995,1.6553,0.979,1.02831,0,0.68247,0.64852,0.62976,0.40992,0.6886,0.64883,0.62733,0.37028,1.22408,1.62627,0.89891,1.04187,0,0.0009035,0.0009035,0.0009035
16,515.449,1.29244,1.70572,1.02715,1.07295,0,0.71855,0.62403,0.64123,0.41917,0.71843,0.62238,0.63952,0.37696,1.22756,1.6213,0.90135,1.03496,0,0.00087875,0.00087875,0.00087875
17,546.297,1.28679,1.68682,0.94698,1.04615,0,0.74181,0.6698,0.6855,0.44936,0.74158,0.66969,0.68362,0.42021,1.24322,1.62195,0.83,1.04352,0,0.000854,0.000854,0.000854
18,576.745,1.29315,1.69724,0.92186,1.05804,0,0.7654,0.65047,0.67693,0.45163,0.76158,0.65306,0.67516,0.41208,1.2096,1.59891,0.83602,1.0276,0,0.00082925,0.00082925,0.00082925
19,606.653,1.23605,1.62327,0.86759,1.02388,0,0.76502,0.68948,0.70628,0.47267,0.76235,0.68948,0.70524,0.42107,1.19559,1.59346,0.80329,1.02752,0,0.0008045,0.0008045,0.0008045
